soap	habon
fling	haboy
blanket	habul
swing	habyog
afraid	hadlok
invite	hagad
ladder	hagdanan
fall down	hagmak
snore	haguk
ounce	unsa
freedom	kahilwayan
tame	hagup
flash	hagurot
breathe	haklu
haste	hakuhaku
pestle	hal-o
graze	halab
meadow	halalban
delicate	halalongan
trifling	halampangan
desirable	halandumon
hang	halay
pillar	haligi
example	halimbawa
degree	halintang
mudfish	haloan
ample	halog
grunt	halokhok
kiss	haluk
scorn	hambadan
gulp down	halunhun
ham	hamon
aroma	hamot
potato	patatas
you	ikaw
screw	tornilyo
aloe	sabila
clothesline	sablayan
answer	sabtanay
overflowing	sagahay
rescue	sagup
mariner	sakayanon
cash	salapi
cut	laplap
thick	lapuyot
studio	larawanan
valley	latagon
narrow bridge	latayan
table	latok
tease	sunlog
block	kaulangan
caucus	kawkus
apron	tampis
nephew	hinablos
charge	hinakay
offspring	hinalabuab
sudden	hinali
overripe	tanang
weapon	hinganiban
expense	hinguyang
bewitchment	hiwit
counterfeit	huad
elite	tampok
example	huaran
drunk	hubog
detach	hukson
patch	hulip
roost	hulonan
question	hulusayon
telephone	telepono
treasurer	tesorero
summer	tigilinit
lower	tiilan
crane	tikling
test	tililawan
worthwhile	tilinguhaon
citizen	timawa
scale	timbangan
kick	tindak
generous	maalwan
excitement	hinugyaw
jewel	hiyas
nice	maambong
sign	tandaan
feel	tandog
extraordinary	tanhaga
offer	tanyag
burned	maantod
courage	kaisug
comic	kaladlawan
sheriff	serip
spear	sibat
damp	mabasa
watchful	mabinantayon
flowery	mabulakon
elusive	madanlog
supply	maghatag sing kinahanglan
curse	pamuyayaw
analogy	pananglitan
sharpen	patalum
likewise	isa pa
dressing room	ilisan
cattle	kabakahan
knight	kabalyero
tyranny	kabangisan
young	kabataon
capital	kabesera
pomelo	kabugaw
hall	kadak-an
success	kadalag-an
small	kadiotay
bite	kadton
splendor	kagayonan
envy	kahikaw
lap	sabak
chair	sablay
specialist	sagad
catch	sal-on
invasion	salakay
mirror	salaming
choosy	salamwanan
obstacle	samong
method	padugi
bet	taya
glue	tayobong
promise	hinambalan
lust	hingabot
similar	anggid-anggid
eminent	bantug
dull	bat-ol
satiated	busug
red	dagangdang
starch	amidol
dearth	giwa-os
wave	humbak
eyelash	milok
round	mainpolon
slipperiness	danlug
ignorant	manol
curse	buyayaw
seize	agao
depart	pahalin
fierceness	kabangis
fierceness	bangis
bent	aboy
eat	ab-ab
shoulder	abaga
broad	abaganhan
rich	abakahan
commit suicide	hikog
commit suicide	hingap-us
many	kadam-an
lima bean	patani
cut	utud-utud
cut off	utud
thoughtless	tarasak
fat	tibunog
round	timbolog
round	tipolon
fan	abaniko
help	abang-abang
oh	abao
exposed	abansada
follow closely	abat-abat
interfere	abay-abay
dawn	kaagahon
mean	kabanyagaan
marry	kasal
difficulties	kasisit-an
evening	kasirum
poor	kagagmayan
last night	kagab-i
transitory	agi-agi
desire	giyan
motion	hagna
pungent	halang
jelly	halea
handsomeness	kaambong
place	inpierno
cheat	lag-it
touch	laham
rung	aluntaga
lazy	maagol
expensive	maambas
smell	maanghit
affectionate	malolot
good	mapinatuboon
creative	mapinatopatoon
harsh	mapiguson
jungle	kagulangan
destruction	kalaglagan
boundary	kutud
rosary	kolintas
copulation	kawing
adultery	lae
adultery	layi
whine	ngithil
name	ngalan
short	maragomo
cold	maramig
clean	kalikog
probe	pangalikog
dirty	ra-ing
rough	sagupra
touch	sapding
taste	samit
confused	saramaylo
heaven	sielo
sheriff	sirip
silk	sokla
chin	solang
thorn	suyak
fireplace	sun-adan
fish	abakan
finish	aban
kettle	takuri
hibiscus	tampulanga
theology	teolohia
notice	abiso
baton	batuta
assets	abir
bubble	akal-akal
doze	alamilaw
make	butok
diligent	butok-butok
wasp	buyug
broken	buung
woolen	delana
nudge	dogsing
dirty	dupak
force	fuersa
expenditure	kahinguyangan
coccyx	pigtot
frail	pigaw
parrot	pikoy
pill	pildoras
nominee	pililion
gunpowder	polbora
prize	premyo
without	waay
intimidating	makakululba
coriander	kulantro
road	kalsada
food	kalan-on
gardener	lagwertero
garden	lagwerta
quarantine	kwarentenas
convention	konbensyon
companion	kompanyero
hatred	kadumut
duration	kadugay
horror	kalisang
gentleness	kalagday
cowardly	matalaw
beautiful	maayo-ayo
beautiful	maanyag
beauty	tahum
beautiful	matahum
chief	punoan
high	matataas
elevated	mataas
blister	lap-ok
shed	kwadra
tame	mahagup
scarcity	ingol
rare	maingol
noisy	magarot
dense	garot
doze	lumilaw
press	lugpitan
collar	luab
taste	kinam
glisten	kinaw
birthday	kinataohan
coffee	kape
blanket	kapay
fatigue	kapaul
strength	kapatol
sibling	kapatid
learned	maalam
stale	mabahaw
platter	bandeha
avocado	abokado
rummage	abukay
gecko	tuko
administration	administrasyon
tasty	marabo
tasteless	maganas
attracted	maduyug
factory	pabrika
moss	lomot
mud	lunang
muddy	lunangon
glittering	maidlak
unsteady	bayud
seashell	bay-ad
banana	tudlo sang dalaga
province	probinsya
mudfish	haroan
scholarship	beka
windward	abong
trumpet	budiong
hair	bohok
leek	ahiti
chess	ahedres
agency	ahensya
acacia tree	akasya
goddaughter	aihada
godson	aihado
rotten	gabuk
incidents	ginagihan
exit	guluwaan
guard	gwardya
animal	mananap
rumbling sound	hagunghung
boom	hagunung
hum	hagung
hum	hagumhum
martial	hangaway
mosquito	hanluk
slippery	hanlug
nipa palm	nipa
onion	sibuyas
all	tanan
waning moon	himatayon
unite	hiliugyon
Jesus	Hesus
accident	disgrasya
midday	hingudto
stop	hinugay
smooth	hinlo
district	puok
snail	puol
rice	ramay
cold	ramig
thinking	rason
religion	relihion
anger	abongho
worship	adorasyon
forehead	adtang
music	musika
sugar	asukar
adobe	adobi
sugar apple	atis
banana	saging
and	kag
coconut	lubi
black	itom
Fie	a-a
oh	aba-a
evil spell	abayan
greet	abi-abi
comrade	abian
invite	abiar
urge	abibar
shawl	abilay
ability	abilidad
swing	abiog
swing	abiogan
advise	abisar
breadth	ablang
friendly	ablaw
shawl	ablay
ash	abo-abo
ashen	abo-abohon
fireplace	abohan
disturbed	aborido
hug	abrasita
apéritif	abrigana
can opener	abrilatas
absolution	absolusyon
dexterity	abtik
hem	abud
intercept	abung
follow	abut-abut
make	abwa
aviation	abyasion
tree	adgaw
ship	adiong
daylight	adlawon
slicer	ad-adan
earthworm	adudulay
compass	aghon
lazy	agdayan
pimp	agwatato
key	alabri
distance	distansya
seashell	diwal
postage	frankiyo
extraordinary	pasahi
continuous	tayoyon
now	karon
man	lalaki
tomato	kamatis
brain	utok
urine	ihi
yearly	tuig-tuig
slow	bundul
thirst	uhaw
tick	dotol-dotol
kitchen	kusina
good evening	maayong gab-i
shrimp	urang
cloud	gabon
airport	hulugpaan
witch	bahoy
silver	pilak
garlic	ahos
goat	kanding
termite	anay
finger	tudlo
