ring	ܥܙܩܬܐ
thigh	ܥܛܡܐ
chest	ܥܝܒܐ
Jesus	ܝܫܘܥ
eye	ܥܝܢܐ
cloud	ܥܝܡܐ
eternity	ܥܠܡܐ
family	ܥܟܪܐ
people	ܥܡܐ
grass	ܥܡܝܪܐ
abomasum	ܥܢܘܝܬܐ
port	ܠܡܐܢܐ
furniture	ܟܪܦܬܐ
coconut	ܢܪܓܝܠ
fata morgana	ܗܪܗܪܐ
swamp	ܐܡܝܫܐ
flood	ܐܡܫܐ
pond	ܦܨܝܕܐ
spice	ܐܨܪܐ
cake	ܟܥܟܐ
pebble	ܦܣܦܣܐ
paternal aunt	ܥܡܬܐ
flock	ܥܢܐ
grape	ܥܢܒܬܐ
grass	ܥܣܒܐ
trace	ܥܩܒܬܐ
scorpion	ܥܩܪܒܐ
bed	ܥܪܣܐ
explanation	ܦܘܫܩܐ
fog	ܥܪܦܠܐ
antiquity	ܥܬܝܩܘܬܐ
wealth	ܥܬܝܪܘܬܐ
body	ܦܓܪܐ
plough	ܦܕܢܐ
mouth	ܦܘܡܐ
philosopher	ܦܝܠܘܣܘܦܐ
philosopher	ܦܝܠܘܣܘܦܬܐ
dish	ܦܝܢܟܐ
persuasion	ܦܝܣܐ
excrement	ܚܪܝܐ
cutting	ܦܣܘܩܐ
mile	ܡܝܠܐ
worker	ܦܥܠܬܐ
paradise	ܦܪܕܝܣܐ
iron	ܦܪܙܠܐ
face	ܦܪܨܘܦܐ
handbreadth	ܦܫܟܐ
melting	ܦܫܪܐ
word	ܦܬܓܡܐ
table	ܦܬܘܪܐ
briar	ܦܛܠ
generosity	ܛܝܒܘܬܐ
passage	ܡܥܒܪܐ
way	ܡܥܒܪܬܐ
twisting	ܦܬܠܐ
dirt	ܨܐܬܐ
desire	ܨܒܝܢܐ
fast	ܨܘܡܐ
prayer	ܨܠܘܬܐ
crucifix	ܨܠܝܒܐ
hawk	ܢܨܐ
hawk	ܒܙܝܩܐ
fledgling	ܙܘܓܠܐ
corner	ܙܘܝܬܐ
burying	ܩܒܘܪܬܐ
gentile	ܚܢܦܐ
gentile	ܚܢܦܬܐ
folly	ܣܟܠܘܬܐ
grub	ܛܠܦܘܢܐ
neck	ܩܕܠܐ
coffee	ܩܗܘܐ
height	ܩܘܡܬܐ
offering	ܩܘܪܒܢܐ
blindness	ܣܡܝܘܬܐ
kill	ܩܛܠܐ
smith	ܩܝܢܝܐ
song	ܩܝܢܬܐ
wood	ܩܝܣܐ
wood	ܩܝܣܘܢܐ
stringed	ܩܝܬܪܐ
key	ܩܠܝܕܐ
flour	ܩܡܚܐ
person	ܩܢܘܡܐ
canon	ܩܢܘܢܐ
possession	ܩܢܝܢܐ
chapter	ܩܦܠܐܘܢ
skull	ܩܪܩܦܬܐ
cold	ܩܪܬܐ
ancient	ܩܫܝܫܐ
ancient	ܩܫܝܫܬܐ
index finger	ܡܛܘܚܬܐ
midnight	ܡܨܥܝܬܐ
little finger	ܚܨܪܐ
head	ܪܝܫܐ
leader	ܪܒܐ
marten	ܣܡܘܪܐ
ichneumon	ܢܡܣܐ
weasel	ܩܘܙܐ
ferret	ܟܟܘܫܬܐ
weasel	ܓܘܡܪܪܐ
belt	ܩܡܪܐ
locust	ܩܡܨܐ
peninsula	ܓܙܪܬܐ ܝܒܫܢܝܬܐ
opisthenar	ܦܢܬܐ
book	ܡܟܬܒܢܘܬܐ
inhabitant	ܥܡܘܪܬܐ
Sodom	ܣܕܘܡ
victory	ܙܟܘܬܐ
groom	ܚܬܢܐ
joining	ܚܘܝܕܐ
sight	ܚܙܘܐ
swallow	ܣܢܘܢܝܬܐ
oven	ܐܬܘܢܐ
swamp	ܐܓܡܐ
forehead	ܐܦܘܬܐ
hyena	ܐܦܥܐ
cornice	ܙܝܙܐ
pipe	ܙܘܪܢܐ
fist	ܙܘܪܐ
weed	ܙܝܙܢܐ
harvester	ܚܨܘܕܐ
bundle	ܡܐܣܪܬܐ
soil	ܡܕܪܐ
obstacle	ܡܟܫܘܠܐ
stumbling block	ܟܫܠܐ
prophecy	ܢܒܝܘܬܐ
hearth	ܡܘܩܕܐ
agama	ܚܪܕܢܐ
river	ܝܪܕܐ
plant	ܢܨܒܬܐ
burden	ܐܝܩܪܬܐ
journey	ܡܪܕܝܬܐ
trap	ܦܚܐ
line	ܣܘܪܓܕܐ
comparison	ܦܠܐܬܐ
atom	ܦܪܕܬܐ
