statement	word
taste	smake
alynen	alinen
rochet	roket
wing	winge
parable	bispel
letter	bocstaff
adamantine	adamas
faucet	fawcett
chamber	bour
Yuletide	yol
Satan	devel
cover up	forcoveren
owl	oule
medieval England	medkniche
headland	foreland
plants	wrid
fabric	carpette
patience	pacience
womb	maris
captive	captif
combining form	eth-
serve	serven
clergyman	clerc
bleed	stremen
prayer	benedicite
ahead	tofore
move	meve
where	thereas
bryony	brionie
peace	grith
wonderful degree	wonderly
smart	smerten
crank	cronk
soldiers	trome
fool	folt
needful	hene
pulse	pouse
suffering	myssease
doubt	dwere
embarrass	abashen
every	ech
spit	spytte
twig	stikke
promise	bihaten
marshland	mersh
honor	manscipe
breach	brike
reader	redere
cover	overhele
dark	opake
fig tree	figer
bad weather	unweder
ensnare	snaren
butter	buter
encamp	loggen
refuse	wernen
fig tree	fige
question	afrainen
ask	frainen
age	elde
secret	diȝel
wrap	wlappen
wrap	lappen
attach	takken
wrap	wrappen
around	umbe
once	enes
knuckle	knokel
incense	encens
cornerstone	hirnestan
unfriendly	unhold
faithfully	holdelike
oath	holdoþ
angry	wrað
creeper	creper
natural	cundelich
papyrus	papirus
singer	synger
victory	siȝe
patience	thuld
addition	eake
captive	caitif
skill	skyle
blaspheme	blasfemen
aunt	modrie
judgment	jewise
charm	charmen
yifth	yeven
platter	plater
courage	corage
accustomed	usant
suffer	þolien
lover	leofmon
rightly	rightwise
feast	Pask
Rubia tinctorum	mader
stud farm	haras
vagina	cunte
godmother	godmoder
detain	forholden
shining	cler
brag	glorien
noble	curteis
Syria	Sirie
carol	carole
example	forbus
moan	wanen
know	knowen
piece	stucche
service	servise
walk	amblen
marl	marle
move quickly	glenten
form	writhen
slanderer	chalenger
hekele	hekelen
comb	hekele
stool	schamel
pig	porknell
image	ymage
trouble	troble
wide	wyde
big	bigge
it	ytt
if	yf
above	aboven
such	suche
mortar	morter
Normandy	Normand
cabbage	caboche
move	waden
painful	noyous
choosing	chois
dovecote	dovehouse
equality	evenhede
falseness	falshede
cleft	clift
anyway	algate
overdoing	overdeed
potentate	potentat
fertiliser	donge
wrong	wronge
sleep	slepe
spit	spete
should	scholde
male goat	bukke
feast	feeste
conflict	kampe
neck	nekke
splotch	spekke
guide	wisse
promote	belden
cattle	erve
trebuchet	gunne
wend	weende
nearby	nerehonde
rock	rochen
summer	somer
chess set	ches
inter	tomben
owe	schulen
latchet	lachet
noble	knyght
nostril	nosethirl
carry	ferien
mermaid	mermayde
tear	ratten
suffocate	smoren
look	loken
sneeze	snesen
straw	strawen
crust	cruste
terrifying	hidous
sacrifice	sacrifise
stalk	stalken
band	douth
hawk	hauk
few	fewe
ford	foorth
agreeable	agreable
army	armee
send away	forsenden
take away	fornimen
expel	forwerpen
melt	tomelten
chapel	chapele
people	thede
road	strete
flea	fle
governing	governement
abrupt	poupen
insulting	blameful
organ	lyme
reject	forcasten
profit	notfulhede
aunt	aunte
young man	bacheler
picky	chis
scrape	schaven
roast	rosten
dangerous	fumous
drought	droghte
breath	breeth
music	melodye
foreign	straunge
seek	seken
blissful	blisful
martyr	martir
ready	redy
nevertheless	nathelees
chivalry	chivalrie
condition	condicioun
loyalty	trouthe
freedom	fredom
honor	curtesie
never	nevere
month	monthe
length	lengthe
mighty	myghty
peacock	pecok
dagger	daggere
French	Frenssh
virtuous	symple
school	scole
finger	fyngre
pleasing	plesaunt
likable	amyable
soft	softe
forehead	forhed
hunting	venerie
waterless	waterlees
oyster	oystre
opinion	opinioun
bird	fowel
state	estaat
dark	broun
certainly	certeinly
confession	confessioun
absolution	absolucioun
penance	penaunce
repentant	repentaunt
weep	wepen
beard	berd
solemn	solempne
solemnly	solempnely
position	bitwixe
lean	leene
philosopher	philosophre
reputation	renoun
preoccupied	bisy
daisy	dayesye
complexion	complexioun
partridge	partrich
fraternity	fraternitee
fresh	fressh
pleasant	esy
enough	ynogh
partner	felawe
draught	draughte
doctor	doctour
astronomy	astronomye
natural	natureel
every	everich
cold	coold
true	verray
deaf	deef
somewhat	somdel
charity	charitee
hat	coverchief
dance	daunce
-less	-lees
religion	religioun
person	persoun
thought	thoght
wrong	wrength
faithfully	trewely
preach	prechen
adversity	adversitee
little	litel
enough	suffisaunce
thing	thyng
sickness	siknesse
cleanness	clennesse
clener	clene
fairness	fairnesse
adjective	-nesse
pull	drawen
whole	hoole
miller	millere
death	deeth
beside	bisyde
afraid	afered
quicksilver	quyk-silver
ointment	oynement
jaw	cheke
knob	knobbe
onion	oynon
drink	drynken
speak	speken
better	bettre
danger	daunger
dangerous	daungerous
voyage	viage
untrue	untrewe
glide	gliden
point	poynt
clear	pleyn
say	seyn
more	moore
judgment	juggement
master	maister
misspeak	mysspeken
progress	forthgang
grammar	stefcreft
exit	outgang
trespass	misgang
provoke	forthcallen
forth	forth-
simple	bilewit
actor	actour
jest	gaude
conqueror	conquerour
mention	mencioun
living	lyvynge
wayment	weymenten
distress	distresse
courtesy	gentilesse
live	lyven
without	wiþoute
sink	synken
banner	baner
plain	feeld
valiant	worþi
shortly	schortly
anxiety	angwissh
dwell	dwellen
prison	prisoun
dungeon	dongoun
jailer	gailler
sorrowful	sorwful
window	wyndow
deadly	dedly
female adult	womman
unfortunate	wrecched
destiny	destenye
lineage	lynage
traitor	traytour
falsely	falsly
widow	wydow
young woman	mayde
all day	alday
conflict	strif
such	swich
escape	skapen
bitter	bittre
remedy	remedye
shout	crien
possibility	possibilite
sob	waylen
jealousy	gelousie
mankind	mankynde
animal	beeste
night	nighte
speak	quethen
rather	raþer
voice	voys
pain	peyne
looking-glass	mirour
alone	allone
squire	squier
poorly	poverly
darkness	derknesse
martyrdom	martirdom
therefore	ther fore
seventh	sevenþe
midnight	mydnyght
desire	desir
down	doun
cruelness	cruelte
change	chaungen
thou	þou
roam	romen
trance	traunce
form	enformen
irascible	irous
arbitrator	noumpere
guess	gessen
remember	remembren
require	requere
acquire	acqueren
drink	drynk
joy	joye
hideously	hidously
fell	fellen
leap	sterten
judge	jugen
condemn	dampnen
defend	defende
plainly	pleynly
sight	sighte
relegate	relegat
rochet	roget
insane	alienat
mosaic	musicke
noun	-hede
grant	graunten
doubtless	douteles
lordship	lordschipe
fight	fighten
devise	devysen
opinion	avys
give	ȝiven
forgive	forȝiven
reckon	accounten
acknowledge	aknowen
flourish	floryschen
stab	spayen
waker	rerer
curse	schrewen
pitiful	pitous
various span	stunden
pant	panten
obediant	buxum
devotion	zele
Lebanon cedar	cedre
cubit	cubite
rat	ratte
import	secundarie
in jest	agame
surgical	cirurgical
jaw	chavel
spaniel	spaynel
burst	tobursten
administrator	governour
encounter	aȝeinen
cucumber	cucumer
delectable	delitable
come	tocome
structure	tofall
weave	webben
additional	toname
sight	syght
newt	evete
poet	poete
fig	fyke
haggis	hagis
accept	accepten
direct	governen
pipe	pipen
roll	trollen
pull away	forten
intend	mynten
rebel	rebellen
reign	riken
pelt	totorven
patiently	paciently
disgrace	shendship
take away	forthnimen
endure	enduren
lure	beswiken
that	thilke
without	withouten
butler	boteler
because	forthi
Crataegus germanica	medler
foin	foynen
formerly	yester-
horse	capull
suitable	condigne
pilgrim	pelerin
destroy	destroyen
quaestor	questor
swink	swynken
decay	ruyne
meddle	medlen
hit	hytt
make	forgen
music	musike
