European	אייראָפּעערין
pony	פֿערדל
horsy	פֿערדיש
sale	פֿאַרקויף
vendor	פֿאַרקויפֿער
vendor	פֿאַרקויפֿערין
teacher	לערער
teacher	לערערין
Galicia	גאַליציע
Galician	גאַליציאַנערין
Galician	גאַליציאַנער
hero	העלד
heroine	העלדין
waiter	קעלנער
waitress	קעלנערשע
waitress	קעלנערין
colleague	קאָלעגע
colleague	קאָלעגין
fantastic	פֿאַנטאַסטיש
fog	נעפּל
African	אַפֿריקאַניש
African	אַפֿריקאַנערין
alphabet	אַלף־בית
alphabet	אַלפֿאַבעט
alphabetic	אַלפֿאַבעטיש
library	ביבליאָטעק
salt	זאַלץ
anarchist	אַנאַרכיסט
anarchistic	אַנאַרכיסטיש
librarian	ביבליאָטעקער
librarian	ביבליאָטעקעראין
plum	פֿלוים
chin	מאָרדע
choose	קלײַבן
lead	בלײַ
kiss	קושן
cushion	קישן
swan	שוואַן
YIVO	שוואַנען
silent	שטום
gribenes	גריבענעס
dream	חלומען
nebbish	נעביש
sadly	נעבעך
fool	נאַר
outstanding	בולט
may	עליו השלום
grey	גרוי
אויף	אויפֿן
circumcise	ייִדישן
masses	עמך
naked	נאַקעט
row	ריי
bite	ביס
witness	עדות
charity	צדקה
pair	פּאָר
science	וויסנשאַפֿט
scientific	וויסנשאַפֿטלעך
universe	אוניווערס
burn	ברענען
for example	למשל
youth	יונג
millennium	יאָרטויזנט
century	יאָרהונדערט
anniversary	יאָרטאָג
tender	צערטלעך
write	שרײַבן
break	צעברעכן
party	שׂמחה
fire	שׂרפֿה
hand	האַנט
important	וויכטיק
wild	ווילד
already	שוין
around	אַרום
not	נישט
evening	אָוונט
magazine	זשורנאַל
mezuzah	מזוזה
ring	פֿינגערל
breath	אָטעם
encyclopedia	ענציקלאָפּעדיע
difference	חילוק
strong	שטאַרק
apricot	אַפּריקאָס
איך	איך האָב אַ קשיא
איך	איך האָב אַ פֿראַגע
butterfly	זומער־פֿייגעלע
grace	חן
awake	אויפֿשטיין
sign	אונטערשרײַבן
diary	טאָג־בוך
coat of arms	הערב
pornography	פּאָרנאָגראַפֿיע
ant	מוראַשקע
there	דאָרט
she	זי
they	זיי
powerful	מעכטיג
treasure	אוצר
fist	פֿויסט
friendly	פֿרײַנדלעך
friend	פֿרײַנד
soccer	פֿוסבאָל
foot	פֿוס
ball	באַל
balalaika	באַלאַלײַקע
beloved	באַליבט
guitar	גיטאַר
drum	פּויק
drumstick	פּויקשטעקל
stick	שטעקל
drummer	פּײַקלער
flute	פֿלייט
violin	פֿידל
fiddler	פֿידלער
thankful	דאַנקבאַר
thankfulness	דאַנקבאַרקייט
slippery	גליטשיק
cat	קאַץ
brother	ברודער
police	פּאָליציי
mesirah	מסירה
marriage	חתונה
sit	זיצן
teach	לערנען
human	מענטש
love	ליבן
insect	דזשוכע
hornet	פֿערדבין
order	סדר
know	וויסן
find	געפֿינען
shadow	שאָטן
hostage	אָרעווניק
watch	זייגערל
Eliezer	אליעזר
bridge	בריק
bridge	בריקל
happiness	גליק
happy	גליקלעך
lord	אדון
Torah	תּורה
Elijah	אליהו
siddur	סידור
strength	כּוח
Israel	ישׂראל
Talmud	תּלמוד
bloom	בלי
געזונט	זײַ געזונט
healthy	געזונט
come	קומען
Sejm	סיים
face	פּנים
west	מערבֿ
go	גיין
Temple in Jerusalem	בית המקדש
yearn	בענקען
Noah	נח
set	זעצן
home	היים
homeward	אַהיים
away	אַוועק
way	וועג
must	דאַרפֿן
has	האָט
itself	זיך
what	וואָס
how	ווי
as	אַז
