big	be
furniture	fanaka
fury	afonafona
gabardine	gabaridina
gable	tapenaka
gag	baham-bava
awkward gait	draiko
cock	akoholahy
gallop	hazakazaka
gamble	miloka
gambling	filokana
gambol	mifalihavanja
game	milalao
gamut	gamatra
gander	gisalahy
sweepings	fakofako
gargle	mihomokomoka
garlic	tongolo gasy
knit	akanjo ba
gas station	tobin-dasantsy
gash	manakiaka
gasoline	lasantsy
gastronomy	haify
gateway	vavahady
come together	androhina
gathering	famoriana
gauge	fitaritarika
gay	misariaka
gazette	gazety
gendarme	zandary
generation	fara mandimby
geologic era	taona jeôlôjika
geology	haibolantany
geometry	jeometria
German	alemanina
goat	baingy
ghost	ambiroa
giant	Rapeto
words	boerika
gibe	haraby
gift	mifamofo
giggle	mihanihany
giggler	fotsy hehy
trap	fandrika
gingham	gingana
gird	manikina
girdle	fandrotra
girth	fehy kibo
gist	votoatiny
glance	manopy
glare	mangarika
shine	mamirapiratra
glitter	mipelapelaka
globe	giloby
globular	mamoribory
glove	fonon-tanany
shine	mivaivay
glower	manjola
gluttonous	be tenda
gnat	aloiloy
incite	manindrona
goblet	gobile
godfather	ray amin'ny batisa
godson	zanaka amin'ny batisa
gold plating	ankoso-bolamena
gone	forom-pototra
pleasant	akisa
good evening	tafandria mandry
Sarkidiornis melanotos	arosy
gorge	dilana
Accipiter henstii	fandrasangara
gospel	filazantsara
gossamer	farora-danitra
baseless rumour	antsanga tsy aman' orana
gouge	famoalaka
gourd	taboara
gout	gaotra
governor	goverinora
grab	fihina
goodness	fahasoavana
step	antoana
grade	grady
grandchild	afy
grandson	zafikely
grape	voaloboka
grapefruit	papelimosy
graphite	anjamanga
grapple	mameja
species	daronambolo
gratitude	saotra
grave accent	tendro miraika havia
sand	bajina
sauce	lasosy
greasy spoon	hôtely kely
grebe	vivy
greek	grika
green	maitso
greenhouse	voageja
greet	miarahaba
greeting	arahaba
grenade	angaranady
grey	mavo
gridiron	salazana
grief	ferin' aina
grieve	malahelo
groan	midredridredry
groaning	dredridredry
grope	miampanampana
ground floor	vanona
grouse	lampirana
grove	ala kely
growing	maroroka
grumble	minemonemona
grumbling	fimonomononana
grunt	mitrona
guard	ambina
guardhouse	trano fiambenana
guideline	filamatra
guile	fangoka
transgress	disoina
guinea fowl	akanga
guitar	jejy
gullet	fangetahetana
gum	fingotra
gummy	madity
gunny	gony
gurgle	migoroana
gush	miboraraka
gutter	fidiran-drano
guzzle	migoka
hack	mifirafira
haft	zarana
hail	havandra
tuft	bongombolo
hairbrush	borosin-doha
hairdresser	mpanao volo
half note	fotsy zanany
halt	mampijanona
hammer	fnoy
hamerkop	takatra
hand	fandramby
hand-off	famindrana
handicap	takaitra
handkerchief	mosara
handle	fitanana
handspike	fanoitra
hanging	hevingevina
happen	mianjady
harbour	fiantsonana
swollen	dinadina
harden	manamafy
hardship	hafy
hare	bitro dia
hark	inao
Polyboroides radiatus	fandrasalambo
hasten	manafaingana
hat	huemina
hatch	manakotrika
