where	may
satisfaction	hunt'ay
full	hunt'a
wealth	kapuy
answer	kutichiy
dream	musquy
appear	musquchay
Switzerland	Suwisa
fermentation	p'uchquy
take away	qichuy
itch	siqsiy
itch	siqsi
sieve	suysuy
meet up	taripay
cough	uhuy
altitude sickness	suruqch'i
turtle	charapa
go down	uraykuy
bloom	waytay
flower	wayta
sorrow	alalay
toast	hamk'ay
lame	hank'a
toasted	hamk'a
burn	hayay
lick	lampiy
shovel	lampay
stretch	mast'ay
wide	mast'a
cold	qasa
pile up	qutuy
cracked	sipiyay
join	t'inkiy
united	t'inki
stab	t'uksiy
prickly	t'uksi
sip	upiy
five	picga
five	pizga
worm	khuru
Poland	Pulunya
Japan	Nihun
almost	yaqa
speaker	rimaq
meadow	waylla
hot	wayllay
light	achik
half	ch'iqta
deer	taruca
deer	taruka
spicy	jaya
drive	apaykachay
fox	atuq
snail	ch'uru
wood	k'ullu
chair	chukuna
blanket	phullu
open	kichariy
close	wisq'ay
snake	katari
bean	chuwi
monkey	k'usillu
spider	apasanka
bat	chiñi
opossum	q'ara chupa
cousin	qayri
nephew	kuncha
anthill	sik'imira
clay	t'uru
ground	jallp'a
horse	kawallu
sheep	uwija
donkey	wuru
image	rikch'akuy
greet	rimaykuy
uninvited	uspa
sterile	uchpa
remove	uchpay
bond	watana
sugar	misk'i
basket	isanka
hour	phani
onion	siwulla
complete	junt'ay
birthday	wata junt'ay
climb	wichariy
ladder	wicharina
graveyard	ayapampa
table	jamp'ara
arrive	chamuy
night	ch'isi
week	qanchischaw
good	k'acha
last	ñawpaq
look for	mask'ay
apartment	juch'uy wasi
small	juch'uy
big	jatun
prepare	wakichiy
schoolmate	yachakuq masi
roof	wasi qhatana
trash	q'upa
lawn	q'umir pampa
skinny	tullu
armadillo	khirkinchu
sit	chukuy
drip	sut'uy
drip	sut'u
berate	anyay
thread	q'aytu
how many	hayk'a
bed	puñuna
bedroom	puñuna wasi
heal	jampiy
hospital	jampina wasi
medicine	jampina
cook	wayk'uy
kitchen	wayk'una wasi
restaurant	mikhuna wasi
grandfather	jatun tata
grandmother	jatun mama
new	musuq
New Year	musuq wata
where	maypi
where	mayman
where	maymanta
frog	jamp'atu
broom	pichana
cut	k'utuy
scissors	k'utuna
pencil	k'aspi qillqana
stick	k'aspi
urinate	jisp'ay
bathroom	jisp'ana wasi
save	jallch'ay
garage	awtu jallch'ana wasi
car	awtu
university	jatun yachaywasi
school	yachaywasi
school	yachay wasi
university	jatun yachay wasi
living room	samana wasi
warm	q’uñi
tea	q’uñi yaku
juice	misk'i yaku
egg	runtu
watermelon	santiya
banana	latanu
peach	turasnu
grapefruit	turunja
melon	milun
strawberry	phurutilla
chalkboard	pirqa qillqana
eraser	qillqa pichana
pencil case	qillqanakuna jallch'anapaq
bicycle	lata wuru
airplane	lata pisqu
bicycle	iskaymuyu
mouse	juk'ucha
jaguar	uthurunku
cut	khuchuy
knife	khuchuna
spoon	wislla
frying pan	payla
stove	q'uncha
teapot	yaku t'impuchina
wardrobe	p'acha jallch'ana
church	iñi wasi
belief	iñi
wild	k'ita
zoo	k'ita uywap wasin
lake	qucha
ocean	mama qucha
Pacific Ocean	Pasiphiku mama qucha
lawyer	amachaq
laundryman	t'aqsaq
worker	llamk'aq
soldier	awqapuri
suffer	ñak'ay
butcher	ñak'aq
shaman	jampiri
mayor	kamachiq
janitor	pichaq
cook	wayk'uq
doctor	jampiq
how many	machka
milk	wilali
ceramic	qiru
funnel	jumina
ladle	wisllasapa
plate	chuwa
nest	thapa
chick	chillwi
dancer	tusuq
suffix	k'askaq
fresh	choklo
mote	mut'i
drink	tujuri
sweeten	misk'ichay
cook	chayachiy
oca	uqa
freeze-dried	ch'uñu
unoccupied	qasi
chatter	qasi simi
scrub	khituy
catch	jap'iy
straw	ichhu
filthy	saqra
pollution	miyuy
human	kurku
ear	ninri
nose	sinqa
horns	waqra
wing	likra
peck	chhutuy
beak	chhutuna
breast	ñuñu
breastfeed	ñuñuchiy
fingernail	sillu
bark	ayñay
scratch	silluy
bite	khaniy
lick	llunk'uy
run	rumpiy
growl	phiñakuy
meow	miyaw ñiy
swim	way'tay
dive	ch'ultikuy
obey	kasukuy
smart	yachaysapa
stubborn	thalu
build	wasichay
viscacha	wisk'acha
lizard	ararankha
New World	suwintu
give birth	uñachakuy
get ready	wakichikuy
dry	ch'aki
put on	k'achanchakuy
get dressed	p'achallikuy
adorn	k'achanchay
noon	chawpi p'unchaw
snack	quqawi
clean	llimphu
dirty	ch'ichi
sour	k'allku
clear	ch'uwa
cloudy	qunchu
shallow	ch'aqcha
hot	k'ajay
wet	juq'u
happy	kusisqa
sad	llakisqa
bent	wist'u
ranger	qhawaq
armadillo	khirki
corn	p'anqa
corn	phuñi
flour	jak'u
corncob	q'urunta
rooster	k'anka
turkey	qallqatu
wheat	riwu
clarify	ch'uwachay
rough	qhachqa
finger	ruk'ana
hair	chukcha
mirror	lirpu
dark	laqha
prison	laqha wasi
week	qanchis p'unchaw
cross	chakana
underwear	juch'uy p'acha
jacket	kutuna
socks	p'ullqu
discotheque	tusuna wasi
wrap	mayt'uy
shell	mayt'una
size	chhika
carrot	sanawrya
