year	ᠠᠨᡳᠶᠠ
shrimp	ᠰᠠᠮᡦᠠ
leopard	ᠶᠠᡵᡥᠠ
hawk	ᡤᡳᠶᠠᡥᡡᠨ
swan	ᡤᠠᡵᡠ
finger	ᠰᡳᠮᡥᡠᠨ
thigh	ᠰᡠᡴᠰᠠᡥᠠ
liver	ᡶᠠᡥᡡᠨ
spleen	ᡩᡝᠯᡳᡥᡠᠨ
lung	ᡠᡶᡠᡥᡠ
kidney	ᠪᠣᠰᡥᠣ
stomach	ᡤᡠᠸᡝᠵᡳᡥᡝ
urinary bladder	ᠰᡳᡶᡠᠯᡠ
skin	ᠰᡠᡴᡡ
gall bladder	ᠰᡳᠯᡥᡳ
intestine	ᡩᡠᡥᠠ
brain	ᡶᡝᡥᡳ
forehead	ᡧᡝᠩᡤᡳᠨ
eyebrow	ᡶᠠᡳᡨᠠᠨ
hair	ᡶᡠᠨᡳᠶᡝᡥᡝ
rib	ᡝᠪᠴᡳ
chest	ᠴᡝᠵᡝᠨ
abdomen	ᡥᡝᡶᡝᠯᡳ
buttocks	ᡠᡵᠠ
anus	ᡨᡝᡵᡠ
waist	ᡩᠠᡵᠠ
back	ᡶᡳᠰᠠ
chopstick	ᠰᠠᠪᡴᠠ
double-edged sword	ᡩᠠᠪᠴᡳᡴᡡ
iron	ᠰᡝᠯᡝ
brass	ᡨᡝᡳᡧᡠᠨ
tin	ᡨᠣᡥᠣᠯᠣᠨ
lead	ᡨᠠᡵᠴᠠᠨ
mercury	ᡨᠣᡥᠣᠯᠣᠨ ᠮᡠᡴᡝ
unprocessed copper	ᠰᡳᡵᡳᠨ
copper	ᡤᡳᠣᠸᠠᠨ
steel	ᡬᠠᠨ
thunder	ᠠᡴᠵᠠᠨ
ice	ᠵᡠᡥᡝ
hail	ᠪᠣᠨᠣ
cheek	ᡶᡠᠯᠴᡳᠨ
face	ᡩᡝᡵᡝ
chin	ᠰᡝᠨᠴᡝᡥᡝ
tail	ᡠᠨᠴᡝᡥᡝᠨ
lip	ᡶᡝᠮᡝᠨ
egg	ᡠᠮᡥᠠᠨ
heel	ᡤᡠᠶᡝ
elbow	ᠮᠠᠶᠠᠨ
beard	ᠰᠠᠯᡠ
spinal cord	ᡳᡴᡡᡵᠰᡠᠨ
fingernail	ᡥᡳᡨᠠᡥᡡᠨ
throat	ᠪᡳᠯᡥᠠ
paternal grandfather	ᠮᠠᡶᠠ
paternal grandfather	ᠶᡝᠶᡝ
paternal grandmother	ᠮᠠᠮᠠ
father	ᠠᠮᠠᡴᠠ
mother	ᡝᠮᡝᡴᡝ
paternal uncle	ᠠᠮᠵᡳ
mother	ᠠᠵᠠ
mother	ᡝᠨᡳᠶᡝ
paternal uncle	ᡝᠴᡳᡴᡝ
paternal uncle	ᡝᠰᡥᡝᠨ
paternal aunt	ᠣᡴᡝ
paternal aunt	ᡠᡥᡠᠮᡝ
daughter-in-law	ᡠᡵᡠᠨ
doctor	ᠣᡴᡨᠣᠰᡳ
maternal aunt	ᠠᠮᠪᡠ
maternal aunt	ᡩᡝᡥᡝᠮᡝ
sister-in-law	ᠠᡧᠠ
prince	ᠠᡤᡝ
friend	ᡤᡠᠴᡠ
brother-in-law	ᡝᡶᡠ
sister-in-law	ᡠᡥᡝᠨ
maternal grandfather	ᡤᠣᡵᠣ ᠮᠠᡶᠠ
maternal grandmother	ᡤᠣᡵᠣ ᠮᠠᠮᠠ
great-grandfather	ᡠᠩᡤᡠ ᠮᠠᡶᠠ
great-grandmother	ᡠᠩᡤᡠ ᠮᠠᠮᠠ
first	ᡠᠩᡤᡠ
maternal uncle	ᡩᡝᡥᡝᠮᠠ
brother-in-law	ᠮᡝᠶᡝ
prosperity	ᠮᡠᡴᡩᡝᠨ
vertebra	ᠰᡝᡳᡵᡝ
neck	ᠮᡝᡳᡶᡝᠨ
chest	ᡨᡠᠩᡤᡝᠨ
leg	ᡥᠣᠯᡥᠣᠨ
palm	ᡶᠠᠯᠠᠩᡤᡡ
window	ᡶᠠ
door	ᡠᠴᡝ
earth	ᠨᠠ
soil	ᠪᠣᡳᡥᠣᠨ
province	ᡤᠣᠯᠣ
air	ᠰᡠᡴᡩᡠᠨ
ridge	ᡩᠠᠪᠠᡤᠠᠨ
ridge	ᠮᡠᠯᡠ
field	ᡨᠠᠯᠠ
sand	ᠶᠣᠩᡤᠠᠨ
road	ᠵᡠᡤᡡᠨ
barley	ᠮᡠᠵᡳ
wheat	ᠮᠠᡳᠰᡝ
glass	ᠪᠣᠯᠣᠰᡠ
spring	ᡧᡝᡵᡳ
cave	ᡩᡠᠩᡤᡠ
hole	ᠶᡝᡵᡠ
farmland	ᡠᠰᡳᠨ
sorghum	ᡧᡠᡧᡠ
evening	ᠶᠠᠮᠵᡳ
wave	ᠪᠣᠯᠵᠣᠨ
morning	ᡝᡵᡩᡝ
thick sauce	ᠮᡳᠰᡠᠨ
vinegar	ᠵᡠᡧᡠᠨ
uncooked rice	ᠪᡝᠯᡝ
salt	ᡩᠠᠪᠰᡠᠨ
white sugar	ᡧᠠᡨᠠᠨ
nipple	ᡨᡠᠮᡳᡥᠠ
waist	ᡩᠠᡵᠠᠮᠠ
island	ᡨᡠᠨ
flour	ᡠᡶᠠ
noodles	ᡥᠠᠩᠰᡝ
forest	ᠪᡠᠵᠠᠨ
grass	ᠣᡵᡥᠣ
thumb	ᡶᡝᡵᡥᡝ
belly button	ᠴᡠᠩᡤᡠᡵᡠ
armpit	ᠣᡥᠣ
bone marrow	ᡠᠮᡤᠠᠨ
sweat	ᠨᡝᡳ
nasal mucus	ᠨᡳᠶᠠᡴᡳ
wing	ᠠᠰᡥᠠ
bow	ᠪᡝᡵᡳ
bowstring	ᡠᠯᡳ
arrow	ᠰᡳᡵᡩᠠᠨ
inkbrush	ᡶᡳ
clothing	ᡝᡨᡠᡴᡠ
maternal uncle	ᠨᠠᡴᠴᡠ
maternal aunt	ᠨᡝᡴᠴᡠ
spring onion	ᡝᠯᡠ
courtyard	ᡥᡡᠸᠠ
thing	ᠵᠠᡴᠠ
pine	ᠵᠠᡴᡩᠠᠨ
farmer	ᡠᠰᡳᠰᡳ
bed	ᠪᡝᠰᡝᡵᡤᡝᠨ
weather	ᠠᠪᡴᠠᡳ ᠰᡠᡴᡩᡠᠨ
cold	ᡧᠠᡥᡡᡵᡠᠨ
long	ᡤᠣᠯᠮᡳᠨ
short	ᡶᠣᡥᠣᠯᠣᠨ
beautiful	ᠰᠠᡳᡴᠠᠨ
pillow	ᠴᡳᡵᡴᡠ
blanket	ᠵᡳᠪᡝᡥᡠᠨ
brick	ᡶᡝᡳᠰᡝ
sickle	ᡥᠠᡩᡠᡶᡠᠨ
branch	ᡠᡴᠰᡠᡵᠠ
color	ᠪᠣᠴᠣ
apple	ᡦᡳᠩᡤᡠᡵᡳ
peach	ᡨᠣᡵᠣ
well	ᡥᡡᠴᡳᠨ
pheasant	ᡠᠯᡥᡡᠮᠠ
wild beast	ᡤᡠᡵᡤᡠ
roe deer	ᡤᡳᠣ
paper	ᡥᠣᠣᡧᠠᠨ
ink	ᠪᡝᡥᡝ
village	ᡨᠣᡴᠰᠣ
guest	ᠠᠨᡨᠠᡥᠠ
hat	ᠮᠠᡥᠠᠯᠠ
high	ᡩᡝᠨ
fast	ᡥᡡᡩᡠᠨ
button	ᡨᠣᡥᠣᠨ
willow	ᡶᠣᡩᠣᡥᠣ
hawthorn	ᡠᠮᡦᡠ
good	ᠰᠠᡳᠨ
cloudy	ᡨᡠᠯᡥᡠᠨ
fog	ᡨᠠᠯᠮᠠᠨ
rainbow	ᠨᡳᠣᡵᠣᠨ
young	ᠠᠰᡳᡥᠠᠨ
old	ᠰᠠᡴᡩᠠ
what	ᠠᡳ
who	ᠸᡝ
how	ᠠᡩᠠᡵᠠᠮᡝ
how many	ᡠᡩᡠ
your	ᠰᡳᠨᡳ
easy	ᠵᠠ
