may	te
cherry	vyšnia
ir	ir sienos turi ausis
keep	laikyti
Joel	Joelio knyga
Amos	Amoso knyga
Obadiah	Abdijo knyga
Jonah	Jonos knyga
Micah	Michėjo knyga
Nahum	Nahumo knyga
Habakkuk	Habakuko knyga
Zephaniah	Sofonijo knyga
Haggai	Agėjo knyga
Zechariah	Zacharijo knyga
Malachi	Malachijo knyga
Matthew	Evangelija pagal Matą
Mark	Evangelija pagal Morkų
Luke	Evangelija pagal Luką
John	Evangelija pagal Joną
Acts of the Apostles	Apaštalų darbai
Romans	Laiškas romiečiams
royal	karališkas
Corinthians	Laiškai korintiečiams
Galatians	Laiškas galatams
Ephesians	Laiškas efeziečiams
Central African Republic	Centrinės Afrikos Respublika
Philippians	Laiškas filipiečiams
Colossians	Laiškas kolosiečiams
Thessalonians	Laiškai tesalonikiečiams
Timothy	Laiškai Timotiejui
Titus	Laiškas Titui
Philemon	Laiškas Filemonui
Hebrews	Laiškas hebrajams
James	Jokūbo laiškas
Michael	Mykolas
Peter	Petro laiškai
John	Jono laiškai
Judas	Judo laiškas
Revelation	Apreiškimas Jonui
Moses	Mozė
kingdom	karalystė
Scottish	škotiškas
bishop	vyskupas
archaeology	archeologija
Englishwoman	anglė
Briton	britė
station	stotis
question	klausimas
drown	skęsti
monkey	beždžionė
chemistry	chemija
ostrich	strutis
desert	dykuma
strawberry 	braškė
rancid	gaižus
try	bandyti
report	skųsti
complaint	skundas
impostor	apsišaukėlis
bitch	kekšė
watermelon	arbūzas
property	nuosavybė
splinter	rakštis
switch on	įjungti
switch off	išjungti
lung	plaučiai
software	programinė įranga
equipment	įranga
harmful	kenksmingas
detrimental	nuostolingas
ragamuffin	driskius
ragamuffin	nuskurėlis
light	lengvas
trap	pinklės
shame	gėda
lazily	drybsoti
blizzard	pūga
ragamuffin	apdriskėlis
arrogant	išpuikėlis
go crazy	išprotėti
trident	kerėpla
example	pavyzdys
apparatus	aparatas
shoemaker	batsiuvys
degenerate	išsigimėlis
bouquet	puokštė
neckline	iškirptė
accidentally	netyčia
bandy-legged	šleivas
snare	spąstai
send	siųsti
barley	miežis
mollycoddle	išlepėlis
lull	migdyti
bank	krantas
poacher	brakonierius
palate	gomurys
boarding house	internatas
grab	glemžti
nannie	auklė
mourn	gedėti
weapon	ginklas
shop	krautuvė
cut	įpjova
income	pajamos
receipts	įplaukos
oat	aviža
blind alley	aklavietė
trick	pokštas
trick	išdaiga
gawk	išsižiojėlis
fur coat	kailiniai
economic	ekonominis
tether	saitas
institution	įstaiga
madcap	nutrūktgalvis
suckle	žįsti
means	lėšos
fidget	nenuorama
change	grąža
verge	briauna
sediment	nuosėdos
find	užtikti
find	aptikti
dregs	drumzlės
lees	padugnės
crown	karūna
Croat	kroatas
Croat	kroatė
kilnùsis	kilnusis erelis
noble	kilnus
sushi	sušis
broker	makleris
wit	sąmojis
conspiracy	sąmokslas
invite	kviesti
scoundrel	niekšas
according to	pagal
territory	teritorija
greatly	itin
Picardy	Pikardija
place	dėti
wrecking	kenkėjiškas
anguish	kančia
sabre	kardas
area	plotas
spear	ietis
granary	klėtis
shark	ryklys
skirt	sijonas
vampire	vampyras
shower	dušas
daughter	dukra
harmony	darna
go	vykti
according to	pasak
Merry Christmas	Linksmų Kalėdų
apostrophe	apostrofas
asparagus	šparagas
conversation	pokalbis
Aleister	Alisteris
tyre	padanga
turnip	ropė
hole	duobė
spiderweb	voratinklis
prepare	paruošti
molecule	molekulė
doubt	abejonė
shoulder	petys
prison	kalėjimas
lesson	pamoka
frieze	frizas
mock-orange	jazminas
white mustard	garstyčia
chew	kramtyti
we	vedu
censorship	cenzūra
rub	dilti
prickle	dyglys
spoil	dergėti
leech	dėlė
dirty	darkus
scythe	dalgis
harrow	akėti
thorn	akstinas
javelin	akstis
awn	akuotas
blackhead	ankštiras
round	apvalus
cord	apvaras
pull	ardyti
ploughman	artojas
axle	ašis
hair	ašutas
remainder	atlaikas
open	atverti
gossip	ausčioti
dawn	aušti
mutton	avikiena
frighten	baidyti
fear	bailė
knock	belsti
bay	bėras
stick	besti
break	bezdėti
knock	bildėti
whitish	blaivas
sleep	blęsti
bleat	bliauti
throw	bliežti
shine	blizgas
push	brauti
dawn	brėkšti
joint	narys
referendum	referendumas
millimeter	milimetras
kilometre	kilometras
kilogram	kilogramas
ray	spindulys
astronomer	astronomas
democrat	demokratas
wolverine	ernis
musical instrument	muzikos instrumentas
tractor	traktorius
hell	pragaras
pick	nugrybauti
sieve	rėtis
corncrake	griežlė
woodpecker	genys
mosque	mečetė
monk	vienuolis
nun	vienuolė
waterfall	krioklys
underrate	nepakankamai įvertinti
society	visuomenė
joy	džiaugsmas
people	liaudis
challenge	iššūkis
frame	karkasas
tsarina	carienė
torso	liemuo
waistcoat	liemenė
hoopoe	kukutis
power	jėga
power station	jėgainė
journey	kelionė
string	styga
develop	vystyti
deck	kaladė
game	žaidimas
hook	kablys
meaning	reikšmė
dendrochronology	dendrochronologija
pike	lydeka
ide	meknė
cod	menkė
European perch	ešerys
relay	estafetė
brand	markė
weigh	sveti
goldfinch	dagilis
shoebill	batasnapis
slug	šliužas
kid	oželis
rhombus	rombas
dual	dviskaita
damage	žala
bullace	kryklė
call	vadinti
glass	stiklinė
error	klaida
cost	kainuoti
direction	kryptis
cerebral palsy	cerebrinis paralyžius
pay	sumokėti
technology	technologija
solitude	vienatvė
bedbug	patalinė blakė
raven	kranklys
seagull	kiras
wet	šlapias
pull	traukti
bedroom	miegamasis
bakery	kepykla
microwave oven	mikrobangų krosnelė
café	kavinė
snot	snarglys
ashtray	peleninė
lighter	žiebtuvėlis
thumb	nykštys
cable	kabelis
toothbrush	dantų šepetukas
toothpaste	dantų pasta
camp	stovykla
backpack	kuprinė
sneeze	čiaudėti
bow	lankas
archer	kilpininkas
mobile phone	mobilusis telefonas
razor	skustuvas
tap	čiaupas
glove	pirštinė
socket	rozetė
towel	rankšluostis
dandruff	pleiskana
gender	lytis
traffic light	šviesoforas
raindrop	lietaus lašas
whistle	švilpti
glasses	akiniai
redstart	raudonuodegė
ill	sergantis
cold	peršalimas
corkscrew	kamščiatraukis
bedsheet	paklodė
umbrella	skėtis
owner	savininkas
flip-flop	pliažinės šliurės
bubble	burbulas
charger	pakrovėjas
part	dalis
near	artimas
freckle	strazdana
refrigerator	šaldytuvas
laugh	juokas
need	reikėti
sleeve	rankovė
button	mygtukas
metal	metalas
saw	pjūklas
fist	kumštis
answer	atsakymas
happy	laimingas
motorway	automagistralė
speed	greitis
scarf	šalikas
hate	neapkęsti
sometimes	kartais
steal	vogti
zip fastener	užtrauktukas
basket	krepšys
motor	variklis
find	surasti
bookshop	knygynas
fire extinguisher	gesintuvas
linguist	kalbininkas
linguist	kalbotyrininkas
linguist	lingvistas
sock	įklotė
sock	kojinė
kitchen	virtuvė
cup	puodukas
cup	puodelis
kettle	virdulys
foxglove	rusmenė
playing card	žaidimo korta
mould	miltligė
mould	pelėsiai
bon appétit	skanaus
chanterelle	voveraitė
lingonberry	bruknė
hat	skrybėlė
cap	kepurė
puddle	balutė
mud	dumblas
cloudy	debesuotas
Rubik's cube	Rubiko kubas
bentgrass	smilga
snow	snigti
shelf	lentyna
washing machine	skalbimo mašina
office	biuras
pigeon	karvelis
intersection	sankryža
town	miestelis
suburb	priemiestis
smartphone	išmanusis telefonas
plug	kištukas
plug	štepselis
cough	kosėti
cough	kosulys
snore	knarkti
cardboard	kartonas
fart	gadinti orą
sleeping bag	miegmaišis
map	žemėlapis
dialect	tarmė
dialect	dialektas
stay	pasilikti
statue	statula
monument	paminklas
monument	monumentas
felt	veltinys
park	sodynas
tired	pavargęs
sleepy	mieguistas
camera	fotoaparatas
film	filmuoti
enter	įeiti
exit	išėjimas
army	kariuomenė
cadet	kariūnas
militia	kariauna
harbinger	tekūnas
other	kitas
open	atidaryta
far	tolimas
gem	brangakmenis
screwdriver	atsuktuvas
bast	lunkas
dragonfly	laumžirgis
bamboo	bambukas
auction	aukcionas
promise	pažadas
suicide	savižudybė
birthday	gimtadienis
Brussels sprout	briuselio kopūstas
twig	žabas
rod	virbas
cross	dėbti
football	futbolas
teat	spenys
artichoke	artišokas
act	veika
every cloud has a silver lining	nėra to blogo, kuris neišeitų į gerą
wrap	krieti
doubt	abejojimas
girl	mergaitė
laboratory	laboratorija
entry	straipsnis
basic	pagrindinis
handful	sauja
disappearance	dingimas
switch	jungiklis
soldering iron	lituoklis
resistor	varžas
blue	mėlynas
faction	frakcija
transitive	galininkinis
arrest	suimti
architecture	architektūra
jerk off	smaukyti
seed	sėklauti
gãktos	gaktos plaukas
backside	užpakalis
wasteland	tuštuma
comrade	bičiulis
like	mėgti
present	dabartinis
puppy	šuniukas
take	vaikščioti
power	galia
dark	tamsus
ikì	iki šiol
know	pažinti
narration	pasakojimas
stand	stovėti
microphone	mikrofonas
aš	aš tave myliu
bite	kąsti
flow	srūti
su	adresas
everywhere	visur
psychology	psichologija
lighthouse	švyturys
brick	plyta
workshop	dirbtuvė
composition	sudėtis
leave	atostogos
cup	taurė
fisherman	žvejys
pleasure	malonumas
ask	prašyti
left	kairė
coast	pakrantė
hillock	kauburys
rock	uolinis
step	žengti
will	testamentas
martin	kregždė
dinosaur	dinozauras
lamb	ėriukas
thrush	strazdas
devil	šėtonas
pharmacy	vaistinė
red	raudona
orange	oranžinė
room	patalpa
earring	auskaras
let	leisti
late	vėluoti
blouse	palaidinė
triolet	trioletas
sonnet	sonetas
hot	karštas
jam	uogienė
course	patiekalas
serve	patiekti
cloudberry	tekšė
pack	pakuotė
matter	medžiaga
rope	virvė
excrement	išmatos
dung	mėšlas
Irishwoman	airė
heading	antraštė
childhood	vaikystė
half	pusė
theater	teatras
meeting	susitikimas
museum	muziejus
pillow	pagalvė
pillow	priegalvis
Rùsijos	Rusijos Federacija
cold	šaltibarščiai
borscht	barščiai
height	ūgis
aquarium	akvariumas
antelope	antilopė
architect	architektas
atheism	ateizmas
author	autorius
lagoon	lagūna
falcon	sakalas
act	veiksmas
hippopotamus	hipopotamas
postman	paštininkas
kangaroo	kengūra
commissioned officer	karininkas
historian	istorikas
stork	gandras
pope	popiežius
lark	vieversys
brush	šepetys
abiturient	abiturientas
alcoholic	alkoholikas
luxury	apartamentas
audience	audiencija
balloon	balionas
bacon	bekonas
brightness	blizgesys
centimeter	centimetras
worker	darbininkas
bagpipes	dūdmaišis
economist	ekonomistas
singer	giesmininkas
singer	dainininkas
humanism	humanizmas
stepfather	įtėvis
sailor	jūreivis
David	Dovydas
Simon	Simonas
Abraham	Abraomas
Bartholomew	Baltramiejus
Gabriel	Gabrielius
Jeremiah	Jeremijas
Benjamin	Benjaminas
Daniel	Danielius
Isaac	Izaokas
Jacob	Jokūbas
Joseph	Juozapas
Elizabeth	Elzbieta
Matthew	Matas
Mark	Morkus
bowling	boulingas
bowling	kėglis
weaving	audimas
Scotsman	škotas
Scotswoman	škotė
maiden	mergelė
Philip	Pilypas
lock	spyna
honeycomb	korys
box	ložė
Stephen	Steponas
stupid	durnas
spawn	neršti
spawning	nerštas
farm	ūkis
kolkhoz	kolūkis
beef	jautiena
poultry	paukštiena
mutton	aviena
dog meat	šuniena
chicken	vištiena
holder	žibinčius
lantern	žibintas
reciprocity	abipusiškumas
aphorism	aforizmas
circumstance	aplinkybė
accountability	atskaitomybė
oakwood	ąžuolynas
balance	balansas
glow	žibėti
barbarism	barbariškumas
businessman	biznierius
lamb	ėras
circulation	cirkuliacija
chronometer	chronometras
chromosome	chromosoma
diligence	darbštumas
degradation	degradacija
demography	demografija
home-made	naminis
tranquility	ramybė
-ity	-ybė
sponge cake	biskvitas
lentil	lęšis
tail	uodega
yawn	žiovauti
ruler	valdovas
postman	laiškininkas
diminutives	-utis
diminutives	-utė
cardboard box	dėžutė
joyful	linksmas
happiness	laimė
ablaut	abliautas
apophony	apofonija
areole	areolė
temple	smilkinys
jaw	žandikaulis
I'm blind	aš aklas
I'm blind	aš akla
handle	ąsa
jug	ąsotis
beehive	avilys
I don't care	man nerūpi
property	turtas
rich	turtingas
richness	turtingumas
lonely	vienišas
loneliness	vienišumas
become	vienišėti
alone	vienišai
forward	pirmyn
cheek	skruostas
downward	mažyn
up	didyn
maybe	galbūt
slow	lėtas
back	atgal
backward	atpakal
iceberg	ledkalnis
calculator	kalkuliatorius
calculator	skaičiuotuvas
wash	skalbti
coconut	kokosas
open	atdaras
closed	uždaras
juice	sultys
grape	vynuogė
grapevine	vynmedis
vineyard	vynuogynas
viticulturist	vynuogininkas
viticulturist	vynininkas
winemaker	vyndarys
flat	lygus
level	lygis
building	pastatas
set up	pastatyti
bud	pumpuras
necktie	kaklaraištis
band	raištis
front	priekis
cowboy	kaubojas
cart	vežimas
chick	viščiukas
explain	aiškinti
stature	stotas
act	veikti
work	veikalas
bag	maišas
hamster	žiurkėnas
marmot	švilpikas
whistle	švilpukas
blindness	aklumas
huge	didžiulis
blackberry	gervuogė
agile	vikrus
ticket	bilietas
torch	deglas
decline	geibti
in	į-
stand	medynas
birch	beržynas
boundary	riboženklis
yellow waterlily	lūgnė
stake	gairė
weather vane	vėtrungė
hoe	kaplys
euphemism	eufemizmas
homeopathy	homeopatija
Paeonia	pinavija
empty	dykas
cease	nustoti
flower	žydėti
farmstead	sodyba
full	ežeringas
cygnet	gulbiukas
strait	sąsiauris
waterway	vandentakis
weak	silpnas
weakness	silpnybė
physical	stiprybė
narrow	siauras
barrel	statinė
fair	teisus
state	valstybinis
company	bendrovė
correct	tikras
really	tikrai
international	tarptautinis
leader	vadovas
leader	vadovė
committee	komitetas
safety	saugumas
authority	valdžia
list	sąrašas
possibility	galimybė
ban	draudimas
government	vyriausybė
whose	kieno
ministry	ministerija
erect	statyti
this	šiaip
this	šitaip
every	visaip
differently	kitaip
one	vienaip
in no way	niekaip
crayfish	vėžys
length	ilgis
characteristic	būdingas
high	aukštai
old age	senatvė
fighter	kovotojas
improve	gerinti
spiritual	dvasinis
holy	šventas
cold	šaltis
message	žinutė
dancer	šokėjas
hectare	hektaras
honorable	garbingas
cellar	rūsys
urgent	skubus
European	europinis
afternoon	popietė
subdivision	poskyris
driver	vairuotojas
therefore	todėl
business	verslas
printing	spauda
majority	dauguma
leader	lyderis
political	politinis
mist	duja
future	ateitis
excellent	puikus
intelligent	protingas
viewer	žiūrovas
champion	čempionas
economic	ūkinis
check	tikrinti
every	kasmet
description	aprašas
sportsperson	sportininkas
basketball player	krepšininkas
i.e.	t.y.
national	nacionalinis
national	tautinis
international	internacionalinis
environment	aplinka
football player	futbolininkas
very	turbūt
lad	berniukas
cultural	kultūrinis
leisure	laisvalaikis
over	virš
Frenchman	prancūzas
businessman	verslininkas
cyclist	dviratininkas
older	vyresnis
superior	viršesnis
net	tinklas
professional	profesinis
warrior	karys
quantity	kiekis
jaguar	jaguaras
iki	šiol
every	kasnakt
punishment	bausmė
trainer	treneris
against	prieš
late	vėlai
artist	dailininkas
horseradish	krienas
nationalism	nacionalizmas
observatory	observatorija
increase	antkainis
otherwise	antraip
county	apskritis
association	asociacija
isolated	atskiras
weaver	audėjas
valstybė	biudžetas
frequent	dažnas
electronic	elektroninis
financial	finansinis
well-being	gerovė
candidate	kandidatas
somehow	kažkaip
something	kažkas
somewhere	kažkur
another	kitoks
another	kitądien
socioeconomic	klasė
club	klubas
quality	kokybė
constitutional	konstitucinis
period	laikotarpis
hospital	ligoninė
customs	muitinė
nowhere	niekur
chairman	pirmininkas
procedure	procedūra
little	pupytė
event	renginys
stapler	segiklis
plot	sklypas
violence	smurtas
social	socialinis
printer	spausdintuvas
special	specialus
abroad	svetur
success	sėkmė
council	taryba
legal	teisinis
telescope	teleskopas
udder	tešmuo
medium	vidutinis
same	vienoks
Vilnian	vilnietis
championship	čempionatas
this year	šiemet
tonight	šiąnakt
this evening	šįvakar
this morning	šįryt
patient	pacientas
safety	saugiklis
small	žvaigždutė
horizon	akiratis
hug	apkabinti
case	atvejis
workplace	darbovietė
worker	darbuotojas
department	departamentas
datum	duomuo
countryman	kaimietis
supply	pateikti
coin	pinigas
mud	purvas
duties	tarnyba
duration	trukmė
foreign	užsienis
value	vertybinis
point	punktas
candidature	kandidatūra
charity	labdara
internal	vidinis
middle	vidurinis
beauty	grožis
partial	dalinis
natural	gamtinis
marketplace	rinka
citizen	pilietis
suggestion	pasiūlymas
solution	sprendimas
administrative	administracinis
name	pavadinimas
sickle	pjautuvas
watering can	laistytuvas
become	tapti
electric	elektrinis
alcoholic	alkoholinis
traditional	tradicinis
social	visuomeninis
property	turtinis
religious	religinis
scientific	mokslinis
golden	auksinis
budget	biudžetinis
collective	kolektyvinis
worldwide	pasaulinis
military	karinis
aircraft	orlaivis
original	pradinis
historical	istorinis
musical	muzikinis
female	ministrė
external	išorinis
monetary	piniginis
helicopter	sraigtasparnis
autogyro	malūnsparnis
three days ago	užužvakar
day	užporyt
day after tomorrow	poryt
tomorrow	rytdiena
last year	pernai
year	užpernai
power	motorinis
three	užužpernai
saving	gelbėjimas
policeman	policininkas
aircraft carrier	lėktuvnešis
group	salynas
bile	tulžis
pile	laužas
appetite	apetitas
amulet	amuletas
bandage	bintas
wintry	žiemiškas
wolf cub	vilkiukas
artificial	dirbtinis
wheaten	kvietinis
demographic	demografinis
geographic	geografinis
interstellar	tarpžvaigždinis
iron	geležinis
workday	darbadienis
skin	odinis
turnip	ropinis
ear	ausinis
quantitative	kiekybinis
qualitative	kokybinis
wooden	medinis
revolutionary	revoliucinis
anklebone	šokikaulis
bacilli	juodligė
apiary	bitynas
formicarium	formikariumas
thigh	kiška
witness	liudytojas
bison	stumbras
bison	stumbriukas
bison	stumbriena
trachea	trachėja
watermelon	arbūzinis
autumn	rudeninis
condition	sąlyga
diphthong	dvibalsis
manuscript	rankraštis
diphthong	diftongas
monophthong	vienbalsis
monophthong	monoftongas
triphthong	tribalsis
go	važiuoti
mechanism	mechanizmas
leader	vedėjas
public	viešas
full	visiškas
absolutely	visiškai
secret	slaptas
experience	patirtis
influence	įtaka
preparation	rengimas
visitor	lankytojas
decision	nutartis
minutes	protokolas
profit	pelnas
supervisor	antstolis
gherkin	kornišonas
empty	erčia
actor	aktorius
daily	dienraštis
weekly	savaitraštis
monthly	mėnraštis
prisoner	kalinys
business	reikalas
fine	smulkus
thousandth	tūkstantas
datura	durnaropė
stupid	kvailas
barbershop	kirpykla
barber	kirpėjas
barber surgeon	cirulninkas
barber	barzdaskutys
Christmas	kalėdinis
stove	viryklė
trolley bus	troleibusas
ransack	naršyti
galimybė	nebe-
moonshine	samagonas
fax machine	faksas
exit	išeiti
indicator	rodyklė
sis	sesė
weekend	savaitgalis
here	štai
badger	opšrus
badger	barsukas
successful	sėkmingas
multitude	būrys
failure	nesėkmė
long-lasting	ilgalaikis
ephemeral	trumpalaikis
factor	veiksnys
recommendation	rekomendacija
consumer	vartotojas
misfortune	nelaimė
half-year	pusmetis
breath	kvapas
attention	dėmesys
primary	pirminis
fishing	žvejyba
weight	svoris
perspective	perspektyva
fireman	ugniagesys
serious	rimtas
punish	bausti
exactly	tiksliai
excellent	nuostabus
heal	gydyti
hinder	trukdyti
last	trukti
ascertain	nustatyti
district	apygarda
territorial	teritorinis
each	kiekvienas
offer	siūlyti
evolutionary	evoliucinis
cover	gaubtas
hemisphere	pusrutulis
jewelry	juvelyrika
jeweler	juvelyras
adornment	papuošalas
quartet	kvartetas
collective	kolektyvas
oven	orkaitė
hardware	aparatūra
shore	pamarys
young	lietuvaitis
sunset	saulėlydis
sunrise	saulėtekis
imagination	vaizduotė
continental	žemyninis
speech	žadas
push	kišti
perish	pražūti
accuser	kaltintojas
plaintiff	ieškovas
pain	skausmas
toilet	klozetas
urinal	pisuaras
e.g.	pvz.
tree trunk	eldija
cf.	plg.
also	t.p.
van	furgonas
limousine	limuzinas
dgs.	ppr.
gal.	dgs.
-logy	-tyra
krepšys	grybauti
mushroomer	grybautojas
mushroomer	grybininkas
mushrooming	grybavimas
and so on	ir kt.
and	ir pan.
sign	ženklas
investigate	tirti
fur	kailis
free	laisvas
employee	tarnautojas
community	bendrija
production	gamyba
honor	gerbti
security	sauga
expert	ekspertas
concert	koncertas
handling	tvarkymas
financing	finansavimas
demand	reikalauti
plan	planuoti
message	pranešimas
head	viršininkas
technical	techninis
protect	saugoti
screen	ekranas
creator	kūrėjas
regional	regioninis
some	kažkoks
American	amerikietis
periodical	žurnalas
step	žingsnis
Olympic	olimpinis
minimal	minimalus
large	daugybė
employer	darbdavys
tourism	turizmas
final	galutinis
nuclear	branduolinis
exam	egzaminas
criterion	kriterijus
decrease	mažinti
section	skirsnis
mass media	žiniasklaida
action	ieškinys
factory	gamykla
diplomatic	diplomatinis
representation	atstovybė
period	kėlinys
executor	vykdytojas
chemical	cheminis
official	reikalavimas
vote	balsuoti
violation	pažeidimas
president	prezidentas
request	prašymas
trade	prekyba
participate	dalyvauti
object	objektas
inspection	kontrolė
addition	priedas
all kinds of	visoks
chance	šansas
round	šaudmuo
equivalent	lygmuo
discipline	drausmė
landscape	kraštovaizdis
popularity	populiarumas
listener	klausytojas
purchase	pirkimas
substitute	pavaduotojas
public	prokuroras
pension	pensija
pensioner	pensininkas
pension	pensinis
judge	teisėjas
observant	pastabus
payment	atlyginimas
product	gaminys
valuable	vertybė
crime	nusikaltimas
district	apylinkė
drinking	gėrimas
deduction	išvada
delivery	išdavimas
partner	partneris
railway	geležinkelis
honest	sąžiningas
technological	technologinis
digital	skaitmeninis
effective	veiksmingas
unique	unikalus
engineering	inžinerinis
united	vieningas
relevant	aktualus
straight	tiesus
metallic	metalinis
organizational	organizacinis
general	generalinis
wholesale	didmeninis
information	informacinis
work	tarnybinis
anti	priešgaisrinis
fire	gaisrinis
radioactive	radioaktyvus
textbook	vadovėlinis
practical	praktinis
energy	energetinis
accident	avarija
wrecked	avarinis
structural	struktūrinis
physical	fizinis
dispute	ginčas
upbringing	ugdymas
scientist	mokslininkas
joint	jungtinis
code	kodeksas
group	grupė
central	centrinis
defense	gynyba
life	gyvybė
work	kūrinys
result noun	-inys
device	įrenginys
cargo	krovinys
baked good	kepinys
architectural	statinys
unit	dalinys
law	teisė
only	vienintelis
state	būklė
producer	gamintojas
happen	įvykti
band	ryšys
abound	vabzdynas
excellently	puikiai
simply	paprastai
successfully	sėkmingai
youth	jaunystė
sõdas	zoologijos sodas
youth	jaunimas
creation	kūryba
wish	linkėti
below	žemiau
above	aukščiau
whole	ištisas
wedding	vestuvės
excite	jaudinti
science	sinoptika
weather	sinoptikas
enlarge	didinti
uneducated	kamuila
regard	požiūris
different	skirtingas
decide	lemti
municipality	savivaldybė
indicate	nurodyti
not	negalėti
execute	vykdyti
use	naudoti
accomplish	įgyvendinti
juridical	juridinis
official	pareigūnas
confirm	patvirtinti
instrument	priemonė
Catholic	katalikas
sometime	kažkada
look	žiū
duty	pareiga
record	įrašyti
strengthen	tvirtinti
lead	vadovauti
construction	statyba
settlement	gyvenvietė
publisher	leidykla
publishing	leidyba
creative	kūrybinis
away	šalin
parliamentary	parlamentinis
sport	sportinis
psychological	psichologinis
internet	internetinis
baggage	bagažas
seaman	jūrininkas
republican	respublikinis
customs	muitinis
protest	protestuoti
sample	mėginys
consciousness	sąmonė
governance	valdymas
court	teismas
command	įsakymas
directorate	valdyba
expansion	plėtra
appear	atrodyti
usage	naudojimas
lose	netekti
be able to	mokėti
confirmation	patvirtinimas
cause	priežastis
supervision	priežiūra
base	pagrindas
ensure	užtikrinti
dot	taškas
organize	organizuoti
relationship	santykis
must	privalėti
