dog	chien
schism	cisme
rag	chippe
neighbor	visnage
quay	cail
cooking pot	caudron
nightmare	cauquemare
canvas	chenevas
transportation	cariage
Stonehenge	Stounhenges
clothmaker	telier
teach	enseignier
rest	reposee
wound	navreure
pendant	pentacol
blind	avogle
blind	avogler
adulterous man	avoistre
vaunter	avanteur
boast	avanter
authorize	auctorisier
artery	artaire
for example	par ensample
pale	apalir
application	aplicacion
torment	anoiance
maiden	ancele
sowable	semable
protection	garantise
ambes as	ambes as
payment	alouance
allocation	alotement
verdant	verdoiant
aforementioned	avantdit
alchemy	alkimie
aubade	albade
entice	alurer
lightening	alegement
stick	estiche
agreement	agrement
wooden support	esselier
fasten	afichier
affirmation	afermance
air	aerien
accusation	acusement
Qur'an	alchoran
accusation	acusacion
accusation	acusance
accuse	acuser
absolution	absolutiun
couple	acopler
wander	estraier
accompany	acompaignier
surprise	abaubir
decoction	decoccion
frightened	esmaier
redness	rojor
mouse	souriz
push	acoillir
world map	mapamonde
scabby	roynous
glass	voirre
vintage	vendenge
offer	troquier
insult	ramposne
insult	ramposner
statute	estatut
spasm	espasme
stability	estabilité
perrier	perriere
summons	apellatiun
sceptre	ceptre
portray	portraire
portray	purtraire
receipt	receite
strap	corgiee
bothersome	enuiieus
oat	avainne
curry	estrillier
breastplate	peitral
powerful	poestif
stocking	chauce
accompany	adestrer
abominable	vitance
plain	plainne
push back	reboter
here	leanz
immediately	entresait
brighter	esclarcir
courtliness	deboneireté
precious stone	jagonce
crown	cercelet
expensive fabric	osterin
bag	somier
thunder	tonoirre
drink copiously	aboivrer
render cowardly	acoardir
unnail	descloer
break	peçoiier
fear	redoter
dent	embuignier
piebald	bauçant
pleasant	acointable
meadow	praerie
arable land	gaeignerie
vanguard	angarde
crucifix	crocefis
empire	anpire
engulf	sorbir
completely	del tot an tot
hear	tresoir
happy	euré
tumult	tomoute
otherwise	autremant
Chartres	chartain
leather	lorain
woods	bruel
exit	desbuschier
fifth	cinquisme
respiratory tract	chanole
engage	champir
become night	anuitier
bench	eschame
spare one another	antrespargnier
split	fandre
shatter	esclicer
break	deslicier
chivalrous	chevaleresce
nape	haterel
laziness	peresce
dowry	doeire
amerce	amercier
portable chair	faudestuel
perfectly	parfitemant
wound	plaier
morning	matinet
combatant	conbateor
mistreat	maumetre
comfort	reconforter
riverside	contre val
garden	jart
represent	represanter
trust one another	entrefier
joust	joste
nose	nasel
displease	desabelir
trickery	feintise
weave	tissir
coronation	coronemant
plunder	pillier
look at	especuler
promise	plevir
guaranty	replevir
raise	desaencrer
reject	regeter
confessed	confés
August	aost
discolor	descolorer
become pale	anpalir
remedy	mecine
candle	chandoile
gold	doreure
topaz	topace
preamble	preambule
pomegranate	pomme grenate
pomegranate	grenate
foot soldier	peonier
countermand	contremander
Windsor	Guinesores
whole	plenier
look	esgart
joust	behorder
pavilion	paveillon
look out	eschargaitier
despair	desfiance
despair	desperance
embolden	anhardir
seed	semance
fly	musche
Germanic	tiois
stature	estature
brilliance	luor
young	juevre
youth	joveneté
ailment	malage
sickness	anfermeté
evilness	malvestié
black magic	deablie
mix	tranprer
mix	atranprer
mix	detranprer
quarrel	tençon
Arabian	arrabi
Arabian	arrabien
Arabic	arabik
Arabian	arrabiois
rescue	rescorre
measure	jaugier
job	gaugeour
hogshead	hoggeshed
ostrich	ostruce
famished	familleus
famished	esgeuné
devastated	desconforter
flatterer	losengeor
flatter	losengier
flattery	losengeance
spade	maigle
fear	esfreor
however	nequedant
resist	contretenir
promise	plegier
sigh	sopir
oppose	oposer
nest	nichier
grinding	molture
often	maintes foiz
lock up	anserrer
advent	avesprer
crash	escrois
imperial	empirial
grand duke	grant duc
tell	espondre
coffin	sepoltre
lead	plonc
shard	esclat
truce	trieve
leafy	foillu
lark	aloete
quail	quaille
amazement	esbahissement
breathe in	espirer
hide	quachier
decree	decré
linctus	letuaire
feeding trough	cresche
door handle	clinke
cloth	covrechief
barber	barbour
ancestral	ancestrel
arrange	arimer
open	baé
invoke	auleguer
planet	planete
bowel	boiel
inherit	eriter
Roncesvalles	Rencesvals
excuse	essoigne
excuse	excusacion
clarion	claron
witness	notarie
changeable	vertible
look for	acherchier
column	columne
remorse	remors
crumble	esgruner
difficulty	berele
musard	musart
immure	enmurer
enclose	encloser
bushel	boisse
bushel	boissel
payment	loier
stirrup	estriviere
taint	taindre
much	granment
elide	g'
clearing	plessié
dangerous	grevain
tile	tiule
wipe	essuier
separate	desjoindre
path	santier
miracule cure	diamargareton
relive	redemener
handle	enarme
furnish	enarmer
handle	enarmé
scare	espoanter
transfer	alienacion
elsewhere	aillors
go back	raler
marble	marbrin
talk	entreparler
doubt	redot
lookout	bretesche
tench	tenche
perch	pierke
enchanter	enchanteor
postern	posterne
occupy	tancier
unload	destrosser
forfeit	forfaire
mistell	mesconter
take	embrachier
spare	respitier
admonish	amonester
terrifying	espoantable
protective	ventaille
scythe	fauz
lizard	leisarde
wipe	terdre
lizard	lesart
dishonour	deshonor
accustomed	acostumeemant
also	altresi
prisoner	prisoniere
purge	purgier
tabernacle	משכן
swelling	boce
branch	ramel
ant	furmie
whole	enterin
miserable	frarin
disobedience	desobedience
all	trestot
dementres que	dementres que
wretched	deputaire
despise	despire
deign	deignier
disdain	desdeignier
disdain	desdein
wood	marrien
ladder	eschiele
trap	entraper
conquer	aquiter
deviate	desvoier
hole	pertuis
fountain	fontenele
pipe	tuel
prepare	porcuidier
infirm	enferm
destroy	foler
punishment	punissement
shameless	esfronté
smash	esfronter
alteration	mutacion
hurt	endamagier
dog	levrer
turtle	wecle
scale	escaille
anelace	anelaz
hardness	durece
required	en abeiance
mark	merche
reign	reignier
watch	gaitier
pronouncement	prononcement
say	prononcier
cry out	huper
witness	tesmoignier
wake up	resveillier
wake up	esveillier
be awake	veillier
kiss	embracier
give	otroiier
pray	proiier
worsen	empoirier
bleed	saignier
spare	espargnier
bother	enoiier
push	apoiier
fold	ploiier
unfold	desploiier
equip	conreer
approach	aproismier
marvel	merveillier
exile	essillier
excuse	essoignier
threaten	manacier
female defender	defenderesse
orphrey	orfreis
embroider	embrouder
proof	prueve
avenge	avengier
dispute	chalongier
dream	songier
exchange	eschangier
use	engagier
wait	targier
decamp	desherbergier
besiege	assegier
dresser	dreceur
pillage	forragier
plan	porpenser
brew	bracier
keep watch	surveillier
delay	porloignier
mark	merchier
green	verdoiier
weep	larmoiier
turn	tornoiier
jab	brochier
defeat	veintre
necessary	estovoir
fear	criembre
sew	cosdre
Saracen	tafur
boil	bolir
write	escrivre
bless	beneistre
touch	adeser
be reborn	renaistre
stole	estole
remove	esfacier
exalt	essaucier
begin	encomencier
undo	deslacier
raise	haucier
pursue	enchaucier
search	recerchier
announce	noncier
elevate	enhaucier
aunt	antain
shine	luisir
shine	reluisir
ransom	raembre
dry	sechier
counsel	conseillier
bargain	barguignier
whiten	blanchoiier
chase	consivre
disguise	desguisier
leave	laiier
relax	relaschier
call	vochier
scatter	esparpeillier
die	perillier
arrange	atirier
boil completely	parbolir
press	priembre
bit	enfrener
babble	babillier
baptize	baptisier
indoctrinate	endotriner
scar	cicatrisier
anger	faschier
release	laschier
harm	meshaignier
paint	peintier
number	nombrer
share	parçoner
move	esmovoir
talk	aparler
kneel	agenoillier
fold	emploiier
increase	encroistre
dictate	enditier
send	envoiier
crush	broiier
wage war	guerroiier
pay	paiier
appease	apaiier
swallow	glotir
swallow up	englotir
coronation	coronacion
bleach	destaindre
fishing boat	hakebot
prepare	apointier
rabbit	lapriel
shipwreck	wrek
precious	precius
vast	spacios
fortify	enforcier
young man	jovenenciel
rust	rouil
aggressive	rogre
carry	porporter
through	por-
go through	poraler
rinse	raincier
stab	pikier
Spanish	espanois
approval	approbacion
rabble	rascaille
temper	temprer
chronicle	cronicle
spinning top	topoie
exchange	eschange
burn	adurir
asbestos	abestos
gnaw	runger
poke	pochier
trench	trenche
gull	moette
hiding place	mucette
frumenty	fourmenté
banish	forbenir
spelt	espiautre
worry	esmai
dazzle	esbleuir
possess	possessier
disenchant	desenchanter
beam	bauc
gift	baubel
chance	eur
composition	composicion
baptize	baptoier
unnatural	innaturel
decline	declinacion
following	prochein suant
prognosis	prenostication
rub	froter
infuse	suffumiguer
overhead	sureschauffer
heating	eschauffement
constrained	estreint
faintness	sincopin
strong fever	causon
fever	causonique
dryness	secheur
retention	retencion
pulse	poulz
diuretic	diuretique
moisten	amoistir
rot	putrefier
clyster	cristere
oppilation	opilacion
thirdly	tiercement
fourthly	quartement
fifthly	quintement
sixthly	sixiesmement
seventhly	septiesmement
eighthly	huictiesmement
chyle	eschile
thunder	tonnoirre
mead	ydromel
quartan	quartaine
break	confraction
mention	mentevoir
black bile	melancolique
variation	variacion
weight	ingrossatif
oil	oile
laxative	evacuatif
block	opiler
blockage	opilatif
rural	champestre
fennel	fenoil
oxymel	oximel
harden	adurcir
eradicate	esrachier
bilious	colerique
bathe	estuver
fever	tierchaine
cleanse	mundifier
sixthly	sextement
end	terminacion
outcome	determinacion
lemon	cytron
linctus	electuaire
pustule	vairolle
pustule	morbiles
twelfth	douziesme
swelling	ydropisie
pestilent	pestilencieux
leper	meselle
leprosy	meselerie
hair loss	depilacion
blackness	noirsure
approach	aprochance
eyelid	paupierre
prolong	prolongier
elephantiasis	elephancie
suffocation	suffocacion
hen	geline
disharmony	destemprance
mix	destemprer
alopecia	allopicie
phlegmatic	fleumatique
parsley	percil
trefoil	trifoil
clover	tresfle
stop up	estoper
regeneration	regeneracion
vegetable	legun
comparison	comparacion
spinach	espinoche
from this	decy
heat	aduste
diminish	appetisser
hallucination	ymaginacion
leper	leprus
alteration	alteracion
ninthly	neufyesmement
tenthly	dixiesmement
moistness	moisteur
participation	participacion
instance	encheson
arbalest	arbaleste
mesnalty	mesnalté
alms	almosne
alms	aumosner
reaching	ataignement
belong	apartenir
bury	sevelir
lead	aduire
scared	dubitous
strong	vigrus
fat	saime
lamp	crasset
heretic	bogre
baton	estrique
arrester	arestour
pause	arestement
stoppable	arestable
pause	arestance
pause	arestal
pause	arestage
pause	arrestaille
hurt	degaster
increase	engrossir
non obstant	non obstant
podagric	podagrique
phlegmatic inflammation	panarice
emunctory	emonctoire
gum	gingive
fetor	feteur
diminishment	diminucion
arsenic	arcenic
diaphragm	diaframe
pleurisy	pleuresis
regrow	rengendrer
material	matiere
pleurisy	pleuresie
prolongation	longacion
prolongation	elongacion
pleurisy	pleuretique
impersonal	impersonel
corrode	corrozer
discount	desconter
continuous	continueus
domination	dominacion
penetration	penetracion
spittle	esput
external	extrinseque
internal	intrinseque
plaster	emplastre
ease	mitiguer
expulsive	expulsif
laxative	laxacion
calming	lenitif
diligently	diligement
fenugreek	fenu grec
apple tree	pumer
doubt	redutement
leave	desbauchier
entertainer	momeor
mask	momon
put on	mommer
stay	parmaindre
notice	parceivement
position	estal
breathing	suflement
approach	aprismer
bush	buissunet
style	estile
odor	odorement
ant	furmi
spiritual	espirital
spiritually	espiritalment
exhalation	espirement
experience	esperiment
dromedary	dromedaire
antlion	furmicaleun
food	pulture
lustful	luxurius
signification	signefiement
still	uncore
beating	bateure
stake	estache
secular	seculer
trickery	boisdie
county	counté
fox	gopil
small	petitet
rejuvenate	rejuvener
darkness	tenebror
harvest	messon
support	maintenement
route	chaucee
tailor	taillour
garrison	estation
gown	goune
inherit	enheriter
hatred	haur
leather	cuirie
quarry	cuiriee
sailor	notonier
juniper	genevre
appraise	prisier
welcome	welcumer
forgottenness	obli
get rid of	retranchier
line up	rengier
checkmate	eschec et mat
sliding	couleis
portcullis	porte couleice
mortgage	morgage
quiddity	quiddité
torturer	tormenteor
hangman	hangeman
lost	gayf
vulture	voutoir
vintner	vineter
vestry	vestuaire
wander	walcrer
wandering	walcrant
vanguard	avauntgarde
doorman	ussier
ullage	ulliage
treatise	tretiz
treaty	treté
cutter	trenchour
movement	translacion
malefactor	torzfesor
harm	torfet
wrongful	torcious
tourney	turnei
maker	fesour
tisane	tysanne
dirty	toiller
taxation	taxacion
tan	tané
ascend	amonter
tanner	tannour
syllable	sillable
inspector	surveour
nickname	surnoun
solitary	soleyn
follower	suytour
sudden	sodein
stubble	estuble
power	sovereinté
plowshare	soket
lordship	seignurie
separation	sevrance
overflow channel	sewiere
phthisic	tisique
screen	escran
bowl	escuele
embalm	embasmer
canonization	saintefiement
shallot	eschaloigne
canonization	seinteficacion
joyfulness	joliveté
although	jasoit
pool	communer
poplar	popler
resurrection	resurrectiun
repayment	resolucion
resident	reseant
arrears	arerage
repossession	reprisaille
relent	relentir
counterplead	contrepleder
story	relat
repeat	reherser
reward	reguierdon
reward	reguerdoner
regratery	regraterie
recovery	recoverie
pure	esmeré
repetition	recapitulaciun
rat	ratoun
cooking	quiture
quiver	quivre
arrangement	arraiement
pain	ahan
cushion	coilte
quintain	quintaine
quire	quaier
quarter	quatroun
clever	cointe
look at	porveoir
Holy Ghost	Seint Espirit
usurp	porprendre
purveyor	purveour
boundary	puralee
puncheon	ponchon
stewardship	provosté
procuracy	procuracie
merciful	propicius
prohibition	prohibicion
profess	proffessur
agent	procureor
proclamation	proclamacion
private matter	priveté
premeditate	prepenser
preaching	predicaciun
carrier	portour
breviary	porteose
porpoise	porpeis
Plymouth	Plymuth
fold	ploi
fill	plenir
sickness	enfermeté
cleverly	cointement
honorableness	honorableté
shout	huchier
separate	descontinuer
trickery	baraterie
wrongdoer	malfesour
act	fesance
welcome	acueil
laud	aloser
decrease	decreistre
chaff	paillete
restart	recommencier
shield	escuchon
during	endementres
now	orendroit
godson	fillol
relationship	fillolage
before	ainçois
lament	pleinte
spine	eschine
calm	coisier
attack	offendre
i	ĩ
sail	sigler
feasible	fesable
granger	grangier
by God	pardeu
Englishry	englescherie
register	contreroulour
seal	bulleite
booty	pelfre
cloth	tiretaine
think of	empenser
household	mesnal
absolve	assoudre
roll	roeler
while ago	pieça
misfortune	mescheance
slaughter	abateure
drip	degoter
follow	ensivre
thrush	mauvis
belonging	apartenant
belongings	apartenanz
hook	encrochier
palmer	paumier
hurt	laidenger
spaulder	espaulier
detain	detenir
South Wales	Suht-Wales
head	caboce
ambush	enbuscier
argue	desraisnier
none	negun
several	auquant
some	auques
same	autretel
sailor	eschipre
tearful	ploreus
anger	iraistre
can	podeir
Lazarus	Lazaron
soft	soef
big	grandisme
small	parv
fail	meschever
finish	chever
French	francor
pagan	paienor
ancients	ancienor
Christian	crestienor
neighborhood	visné
pay	soudre
prayer	preiement
believe	concreidre
impediment	empedement
regrow	recimer
youth	jovent
flail	flaiel
enraged	corroptios
meeting	assemblement
nourishment	provendier
adornment	aornement
very saintly	saintisme
get lost	mesaler
blame	blastengier
lodgings	herberc
Christianity	crestienté
sinful	pechable
candelabrum	chandelabre
permanent	parmenable
turn	trestorner
bury	enfoir
highest	alçor
angry	coroços
work	ovraigne
madness	folor
lust	covoitise
old age	vieillece
provost	prevost
deceit	deçoite
savior	sauveor
reassure	rasseurer
leave	delaissier
food	viandier
disbelieving	mescreable
God	Damnedeu
refreshment	frigerie
coolness	refrigerie
grill	greil
straighten	adrecier
see again	reveoir
together	communalment
celestial	celestien
greeting	saluement
defeat	devaincre
extract	estrete
violence	ferté
insane	desvé
sixth	seiseme
rent	locaige
dismay	esmeance
broker	brocour
response	respuns
defense	defension
guide	guier
as much as	itant
orange	orenge
have	soloir
sap	seve
headband	bendel
satisfy	sauler
fetter	empeechier
joy	joiance
joyous	joiable
tenderness	tendror
Danube	Dunoe
angry	recorrocier
care	cusançon
woods	gaudine
whirlwind	torbeillon
house	meisonete
lower	embronchier
debauchery	puterie
link together	entrelier
pleasure	envoiseure
enjoy oneself	envoisier
separation	desevrance
abstain	consirer
novelty	novelerie
shred	harigoter
unburden	desencombrer
joust	cembel
reed	rosel
fencing	escremie
disloyal	desleer
then	idunc
anxiously	anguissusement
huge	ahuge
high	haltein
set up	corteier
promise	graant
barn owl	fresaie
pack	veltrier
chef	cuistrun
pastourelle	pasturele
kennel	bernier
evil	maveisté
challenge	desfiement
last	derein
shame	hunisement
deception	decevance
foal	pulein
skill	cuintise
accuse	encuser
copse	bruil
rattle	flavel
leper	lazre
reward	merir
use	flaveler
vilely	vilment
vielle	vielur
secret	segrei
have fun	deduire
dawn	enjornee
mislead	forsveier
fret	freter
allegiance	lijance
task	besoigne
ill	amaladi
banish	congeier
measure	amesurer
fastener	afichail
medicate	meciner
Le Tréport	Treisporz
poison	entuscher
worry	anguserie
rendre l'espirit	rendre l'espirit
sadden	adoler
likewise	ensement
Sampson	Sanson
after	apruef
fugitive	fuitif
age	aé
walrus	galerous
mariner	marinal
garnish	empaner
safe and sound	sauf et sain
port	havle
door	uisset
richness	richeté
at least	siveus
checkered	eschekeré
trickery	veisdie
tunic	gunele
madman	bricun
stupid	asoter
fisherman	pescheor
Besançon	Besençun
panelling	lambre
woo	doneier
wild boar	sengler
loon	plunjun
hunting dog	berseret
bird	hobel
drive mad	fere dever
slim	alignié
container	costeret
container	costerel
shame	vergonder
pleasure	deduit
knife	cnivet
pine tree	espin
lowered	enbrunc
jest	gabois
staying	remanance
staying	demorance
caterpillar	catepeluse
promise	acreanter
scare	espoenter
ladder	eschele
canonize	canonisier
ill	mesaisié
uneasy	mesaisi
at will	a bandon
bite	amordre
axe	coignie
surveillance	agait
throw	porjeter
make	afaitier
flotsam	floteson
jetsam	geteson
maltreat	laidangier
flesh	charnage
burn	bruir
chamberlain	chamberlein
cupbearer	eschançon
pickaxe	besche
pride	orgoil
damage	blesmir
hunt	berser
target	bersail
town	borgeis
July	juignet
ugliness	laideté
aid	aiudha
licorice	licoresse
sustainer	norrisseor
to arms	aux armes
get to know	acointer
forbid	entredire
yawn	baaillier
emboldenment	abaudissement
parleie	parloie
parloient	parlevent
embaudir	abaudir
abaudir	embaudir
embolden	esbaudir
doctor	cirurgiien
ains	ainz
ainz	einz
builder	castelwryte
onion	oingnun
Wednesday	mecredi
arrogant	outrecuidier
Homs	Hames
Poulain	Polain
commander	comandeor
oil	antoillier
coffin	sarcou
vigorous	ruiste
stinking	pullent
yet	porquant
enclosure	pourpris
thought	porpens
timber	mairenier
touch	ataster
madman	bricon
array	embataillier
flatten	quatir
laxity	laschesse
demonic	demoniaque
gonfalonier	gonfanonier
possess	posseoir
contain	chavoir
nephew	nevod
quince	codoin
river	fluive
however	nonporquant
both	andous
faith	credance
abriger	abregier
fall	chadeir
strap	lasne
litter	estramer
innkeeper	herbergeor
mud	fanc
rascal	arlot
badger	taisson
chessboard	eschekier
Baghdad	Baudas
