dog	犬
창	窻
륭	窿
steal	竊
립	立
경	竟
준	竣
child	童
갈	竭
end	端
competition	競
bamboo	竹
축	竺
flute	竽
tablet	笏
laugh	笑
笙簧	笙
entwine	笧
차례	第
령	笭
write	筆
rank	等
광주리	筐
answer	答
대자리	筕
administer	筦
willow	筽
piece	箇
record	箋
broom	箒
count	算
복	箙
tweezers	箝
rod	箠
arrow	箭
box	箱
proverb	箴
node	節
전	篆
rattan	篋
oar	篙
률	篥
지	篪
hairpin	篸
록	簏
usurp	簒
소	簘
simple	簡
생황	簧
소	簫
winnower	簸
렴	簾
부	簿
람	籃
주판	籌
등	籐
수	籔
뢰	籟
대	籠
lottery	籤
ancient	籥
변	籩
powder	粉
모	粍
립	粒
sticky	粘
congee	粥
린	粦
량	粮
량	粱
찬	粲
말	粵
린	粼
종	粽
고	糕
mixed	糝
dung	糞
량	糧
려	糲
규	糺
twist	糾
contract	約
bind	紇
pay	納
뉴	紐
innocence	純
paper	紙
level	級
disorderly	紛
plain	素
루	累
thin	細
소	紹
navy	紺
출	絀
end	終
bond	絆
tie	結
걸리다	絓
교	絞
락	絡
aura	絪
서	絮
통일	統
명주	絲
end	絶
깁	綈
유	綏
pass	經
록	綠
주	綢
keep	維
net	網
connect	綴
륜	綸
burst	綻
릉	綾
seal	緘
line	線
집	緝
단	緞
연	緣
slow	緩
practice	練
red	緹
entangle	縈
액	縊
tie	縛
호	縞
crepe	縠
류	縲
매다	縶
루	縷
번	繁
draw	繅
무	繆
실	繎
번	繙
료	繚
수	繡
embroider	繢
rope	繩
connect	繫
continue	繼
pink	纁
뢰	纇
cotton	纊
continuation	續
류	纍
continue	纘
tie	纚
람	纜
lack	缺
empty	罄
crack	罅
뢰	罍
망	罔
稀罕	罕
부	罘
hang	罣
sin	罪
hinder	罫
punishment	罰
서	署
scold	罵
파	罷
리	罹
증	罾
라	羅
비	羆
기	羈
sheep	羊
beauty	美
장	羘
령	羚
새끼 양	羜
선	羡
group	羣
群れ	群
right	義
리	羸
feather	羽
next	翌
령	翎
practice	習
soar	翔
swift	翛
적	翟
고	翱
번	翻
wings	翼
shine	耀
로	老
think	考
person	者
기	耆
말	而
end	耑
뢰	耒
decrease	耗
운	耘
harrow	耙
루	耬
ear	耳
탐	耽
bright	耿
職	聀
령	聆
료	聊
clamor	聒
holy	聖
hear	聞
련	聫
귀	聬
련	聮
련	聯
voice	聲
stir	聳
deaf	聵
벼슬	職
listen	聽
롱	聾
writing	聿
meat	肉
륵	肋
초	肖
elbow	肘
anus	肛
liver	肝
thigh	股
팔	肢
dim	縹
분	肦
shoulder	肩
gizzard	肫
raise	育
lung	肺
stomach	胃
back	背
아이	胎
embryo	胚
cell	胞
armpit	胠
과	胯
